573 533 333 1000 1000 533 533 1000 739 533 573 629 1414 783|0.001 -0.03461309897850762 0.08291020188019971 -0.0026480986031474085
1000 1000 1000 333 573 739 573 533 533 533 533 1414 629 783|0.001 -0.045293795060212805 0.0738482376229288 -0.02544424265744194
1600 1720 3000 3000 1600 1600 3000 1720 1600 2218 3000 1887 1887 2263|0.001 -0.02445147903538003 0.07652895020767048 0.012841187953440691
930 581 1744 1744 930 930 1744 1289 930 1000 1744 1838 1366 1315|0.001 -0.04122117980524753 0.09158394105137635 0.021638468771640884
739 533 573 1000 1000 533 533 1000 573 533 333 783 1414 1153|0.001 -0.028902336723616306 0.09387422028579673 -0.001259492698540976
1000 1000 1000 573 333 573 739 533 533 533 533 1414 1054 629|0.001 -0.03389240526605275 0.06107036263200749 0.01694185653514424
625 1875 1075 1000 1000 1875 1875 1000 1075 1875 1386 1179 1414 1976|0.001 -0.1782508807671246 0.04072094062994358 -0.01970619259084594
1744 1289 930 930 1744 1744 930 581 1744 1000 930 2010 1097 2466|0.001 -0.0961010112568228 0.0007066150337009525 -0.08264197489612601
1000 1000 1000 1075 1386 1075 625 1875 1875 1875 1875 1414 2161 1468|0.001 -0.11836553032078645 0.0420880491713449 -0.01967192499674364
3000 1720 1600 1600 3000 3000 1600 1720 3000 2218 1600 3162 3162 4243|0.001 -0.08475383952365134 -0.005871572151928683 -0.09931061249555007
1000 1000 1000 625 1075 1386 1075 1875 1875 1875 1875 1414 1976 2161|0.001 -0.048834342959922505 0.19795411131384721 0.0556731268068944
1075 1875 625 1000 1000 1875 1875 1000 1386 1875 1075 1976 1414 2161|0.001 -0.1958322504204857 0.05864989912859775 -0.05431831862895198
333 533 573 1000 1000 533 533 1000 573 533 739 1054 1414 629|0.001 -0.029193412172452415 0.08056547005702797 0.009880199897489561
1000 1000 1000 573 739 573 333 533 533 533 533 1414 783 1153|0.001 -0.06702337349995369 0.03771535083370248 -0.037268796570565366
930 1289 1744 1744 930 930 1744 581 930 1000 1744 1366 1838 1315|0.001 -0.01303815042567602 0.1117345184926255 0.023162797158984283
1000 1000 1000 739 573 333 573 533 533 533 533 1414 1153 1054|0.001 -0.05459216634007391 0.047808631498014176 0.006041573890407381
721 776 1353 1353 721 721 1353 776 721 451 1353 1559 1559 1020|0.001 -0.09850705094642698 0.129862032739414 0.04808041371269001
573 533 739 1000 1000 533 533 1000 333 533 573 1153 1414 1054|0.001 -0.03421615319722626 0.08544619500140849 -0.00461692121501045
1075 1875 1386 1000 1000 1875 1875 1000 625 1875 1075 1468 1414 1179|0.001 -0.0814023806504427 0.09287022024259572 0.03446016161203991
1353 776 721 721 1353 1353 721 776 1353 451 721 1059 1059 1913|0.001 -0.09129535443601067 0.005793373804598989 -0.09797262039530019
1000 1000 1000 1386 1075 625 1075 1875 1875 1875 1875 1414 1468 1179|0.001 -0.1296623642765793 0.08939179584571688 -0.003897777902712729
1000 1000 1000 1075 625 1075 1386 1875 1875 1875 1875 1414 1179 1976|0.001 -0.15712874352177608 0.019837534214619534 -0.015425744235854078
1744 581 930 930 1744 1744 930 1289 1744 1000 930 1097 2010 2466|0.001 -0.08124045267917657 0.03855243135233888 -0.07489184835769214
1386 1875 1075 1000 1000 1875 1875 1000 1075 1875 625 2161 1414 1468|0.001 -0.1455674795105366 0.08138565139968135 0.009119420368068898
3000 1000 3000 566 1061 1299 693 738 2250 817 2600 3162 791 2487|0.001 -0.0475444058845953 0.108574599430169 -0.03667208969527547
1305 1875 1768 5303 4596 3977 5303 1225 1444 2296 1768 1398 4704 4186|0.001 -0.12369488590698086 0.08443732071120813 0.01709206187593848
231 867 189 333 333 272 246 1000 433 750 354 887 1054 363|0.001 -0.010341923821737264 0.1535338150160248 0.02014468237143685
333 1000 333 354 433 231 189 750 272 867 246 1054 829 503|0.001 -0.038905932192386805 0.08833007531356962 0.013462625100848502
2121 1225 2828 943 696 770 943 533 2451 653 2828 2345 1373 2548|0.001 -0.03848456241964615 0.10108077262500847 0.021850344513358877
566 738 1061 3000 3000 2600 2250 1000 693 817 1299 1456 3162 2661|0.001 -0.09574632071266298 0.11923274655972982 -0.009329133379762933
3000 1000 3000 1299 693 566 1061 817 2600 738 2250 3162 1510 3053|0.001 -0.028714108625234047 0.0605479711688095 0.03753330594369331
354 750 433 333 333 246 272 1000 189 867 231 1061 1054 485|0.001 -0.03053006368032296 0.06906456797924454 0.0198943920040362
629 533 770 2309 1732 2001 2309 816 568 435 770 1162 2449 1823|0.001 -0.06846381732654838 0.04252464602398698 0.010802723584384388
333 1000 333 231 189 354 433 867 246 750 272 1054 1018 264|0.001 -0.08958462834459002 0.037117975470450926 -0.03520454074769197
1299 817 693 3000 3000 2250 2600 1000 1061 738 566 1090 3162 3182|0.001 -0.03161396883774814 0.07744876758961627 0.021095928068319836
3753 816 4330 1443 1179 1066 1443 1875 3248 1531 4330 4406 1573 3901|0.001 -0.1446073114901003 0.09794727520407776 0.0017958084598257429
5303 1225 4596 1305 1768 1768 1444 1875 5303 2296 3977 5397 2574 5590|0.001 -0.03699694089976169 0.1279645793357087 0.009608207918065936
1437 1355 766 3522 3048 4064 4064 1107 1760 1355 938 1972 3208 4310|0.001 -0.0716701949611398 0.05049155705862507 0.018265069408460732
314 865 284 218 266 500 408 1154 385 1154 385 911 1174 581|0.001 -0.12120336503247842 0.07849486211769952 -0.029269070691977372
943 533 696 2121 2828 2828 2451 1225 943 653 770 745 3000 2981|0.001 -0.06807522500281382 -0.004989519665942188 -0.041961773592283924
577 1333 471 328 363 444 444 1156 308 1333 251 1414 1201 484|0.001 -0.15969432347615053 0.014486423762753997 -0.0016573086500826228
3522 1107 3048 1437 766 938 1760 1355 4064 1355 4064 3661 1071 4135|0.001 -0.011683165550201435 0.10594060824775875 0.016944619243923764
2309 816 1732 629 770 770 568 533 2309 435 2001 1915 839 2434|0.001 -0.0515309714241996 0.05657030850597433 -0.009080775467524838
328 1156 363 577 471 251 308 1333 444 1333 444 1052 1106 351|0.001 -0.02398304615989666 0.12406433464118516 0.016133347374605034
848 1224 1590 2754 3182 3672 3672 904 692 1224 1298 1334 2898 3257|0.001 -0.024721556940845435 0.10932346584887176 0.014902608353624114
1443 1875 1179 3753 4330 4330 3248 816 1443 1531 1066 2179 3841 4564|0.001 -0.13940220007979343 0.061513993482884555 -0.036876585993214084
218 1154 266 314 284 385 385 865 408 1154 500 1023 1040 560|0.001 0.0074681908175811 0.1569531414708769 0.02398983561587187
2754 904 3182 848 1590 1298 692 1224 3672 1224 3672 3308 1848 3045|0.001 -0.08914781291635476 0.032503961599184006 -0.10563923649086426
333 1000 333 573 573 573 573 1000 1000 1000 1000 1054 1153 814|0.001 -0.048429402595503435 0.14215264324642707 0.02193178910110838
1744 1000 1744 581 1744 1744 581 1000 1744 1000 1744 2010 1419 2466|0.001 -0.07453057558099774 0.07526641863057737 -0.17448718826053478
1720 3000 1720 3000 3000 3000 3000 1000 1720 3000 1720 2441 3162 3458|0.001 -0.30143706874297904 0.034054999048260814 -0.044944186210588155
3000 1000 3000 1720 1720 1720 1720 3000 3000 3000 3000 3162 2441 3458|0.001 -0.05625711639119846 0.14927927719845746 0.0382304483752427
1744 1000 581 1744 1744 1744 1744 1000 1744 1000 581 1419 2010 2466|0.001 -0.017220300392091215 0.10381574616427747 0.01820894325827549
333 1000 333 573 573 573 573 1000 1000 1000 1000 1054 1153 814|0.001 -0.03771882218370659 0.20607749198902958 0.03713515584162996
1720 3000 1720 3000 3000 3000 3000 1000 1720 3000 1720 2441 3162 3458|0.001 -0.2517905878325677 0.07671991396098088 -0.0006595984037560676
1744 1000 1744 581 1744 1744 581 1000 1744 1000 1744 2010 1419 2466|0.001 -0.10108563990439579 0.09206389274455606 -0.20716064233211484
3000 1000 3000 1720 1720 1720 1720 3000 3000 3000 3000 3162 2441 3458|0.001 -0.2755949527175694 0.03383368892481364 -0.0035572063004030152
1744 1000 581 1744 1744 1744 1744 1000 1744 1000 581 1419 2010 2466|0.001 -0.006618796511437264 0.09551368355259715 0.015593492634446982
581 1000 1744 1744 1744 1744 1744 1000 581 1000 1744 1419 2010 1838|0.001 -0.026085926994448005 0.13261909582625853 0.04308750734622668
573 1000 573 1000 1000 333 333 1000 573 1000 573 1153 1414 814|0.001 -0.05838835700087475 0.08565789556639336 0.0008375119745118731
1000 1000 1000 573 573 573 573 333 1000 333 1000 1414 814 1153|0.001 -0.03529568239171055 0.06942625301307848 -0.014017029916159052
573 333 573 1000 1000 1000 1000 1000 573 333 573 814 1414 1153|0.001 -0.0475518777686601 0.006333185820888154 -0.016326842876476233
1000 1000 1000 573 573 573 573 1000 333 1000 333 1414 1153 814|0.001 -0.0722370656901472 0.09442392927730969 0.02648714925078899
581 1000 1744 1744 1744 1744 1744 1000 581 1000 1744 1419 2010 1838|0.001 -0.06874129640582094 0.12127418762490683 0.008738478769902969
1000 1000 1000 573 573 573 573 333 1000 333 1000 1414 814 1153|0.001 -0.01226634898732093 0.06765762917980478 0.015543696092648052
573 1000 573 1000 1000 333 333 1000 573 1000 573 1153 1414 814|0.001 -0.09510475586702816 0.08359123648322475 0.0021111891247183046
573 333 573 1000 1000 1000 1000 1000 573 333 573 814 1414 1153|0.001 -0.051945707414126074 -0.005661424228571299 -0.02498833997038652
1000 1000 1000 573 573 573 573 1000 333 1000 333 1414 1153 814|0.001 -0.07336362678107444 0.04067614432409217 -0.007423757164272127
1805 904 1377 1875 2432 2775 2561 1875 5967 1694 5164 1647 3246 4387|0.001 -0.07458126001724685 0.20331694362189623 0.03718990045845638
1000 1297 533 734 2754 3182 963 1366 904 1480 482 1731 2050 2898|0.001 -0.07819549054174812 0.029036257806323018 -0.21659416366719864
1860 3750 1362 726 656 1230 1362 1311 2015 4333 1766 2791 1196 2357|0.001 -0.3839044672993486 0.04195523657915645 -0.015629355687636348
501 763 554 1347 1537 1418 1039 3305 938 2860 1039 1118 2430 1443|0.001 -0.15058621487668788 0.12215746533873917 -0.0029210217614283884
2453 1141 742 411 771 697 372 771 2123 1053 566 1804 669 2550|0.001 -0.047768583682604726 0.03129059694152225 -0.043791008912480445
1524 1107 1998 3071 2834 2075 2692 1875 5715 2075 6604 1823 2882 3415|0.001 -0.20530448259756695 0.06359819495146413 -0.01191556770158253
1347 3305 1537 501 554 1039 938 763 1039 2860 1418 2210 912 901|0.001 -0.28544014356066905 0.02781266335235122 -0.04238442961015498
611 923 326 651 2151 1861 496 877 676 676 360 939 1438 1959|0.001 -0.08211761097041026 0.03384653140704019 -0.19677145731451073
726 1311 656 1860 1362 1766 2015 3750 1362 4333 1230 1466 2241 2357|0.001 -0.4321030294468775 0.02062932358692482 -0.027858771614045486
3071 1875 2834 1524 1998 6604 5715 1107 2692 2075 2075 3592 2234 4415|0.001 -0.20302348422191918 0.0676784741906089 -0.17498699647241378
2016 732 538 353 662 732 391 1084 2330 950 705 1205 1267 2422|0.001 -0.04441058603546155 -0.00695835087401675 -0.04725580839513466
734 1366 2754 1000 533 482 904 1297 963 1480 3182 1646 868 878|0.001 -0.02929486613570731 0.11616007357657887 0.0017566670839208598
1297 533 1000 2754 3182 963 734 904 1480 482 1366 868 2898 2128|0.001 -0.02968464895903633 0.10745870937490354 0.004953262836278061
328 1156 363 363 496 537 471 267 175 350 194 1052 598 504|0.001 -0.029040882145274782 0.05279239835274785 0.008837639478316284
411 771 771 2453 742 566 2123 1141 372 1053 697 1334 1640 830|0.001 -0.02753033312658637 0.14472234787536342 0.03665890637443825
465 303 408 314 284 151 168 865 429 231 314 669 1040 544|0.001 -0.03102749591537224 0.04061650739538791 0.004515267743516738
2754 904 3182 1297 1000 1366 1480 533 734 482 963 3308 1731 1646|0.001 -0.06329914382699142 0.07929998190618459 -0.027194520497563213
651 877 2151 611 326 360 676 923 496 676 1861 1581 1170 594|0.001 -0.16695727401359273 0.10979585370343381 0.026645361765913478
314 865 284 465 408 314 429 303 168 231 151 911 735 544|0.001 -0.01184482939176501 0.07416299316779007 0.0152502172090907
1511 533 1638 3522 3048 813 1066 1107 1107 590 1436 1916 3208 2269|0.001 -0.03470459128935843 0.10709707155185821 0.010845502531566797
363 267 496 328 363 194 175 1156 471 350 537 744 1201 315|0.001 -0.045674664390698005 0.045737532044594076 0.002938602917930133
3522 1107 3048 1511 1638 1436 1107 533 1066 590 813 3661 1537 2589|0.001 -0.024124208186850904 0.05703379482136395 0.01371632476638407
1000 1000 1000 125 125 125 125 1000 1000 1000 1000 1414 1008 1008|0.001 -0.12231229562514212 0.031362388659903484 -0.04243579695609068
8000 1000 8000 8000 8000 8000 8000 1000 8000 1000 8000 8062 8062 11314|0.001 -0.08837516776325605 0.08965819319145307 -0.004184151846371442
125 1000 125 1000 1000 1000 1000 1000 125 1000 125 1008 1414 1008|0.001 -0.06614554353164048 0.08234034317355254 0.020469114691841206
1000 1000 1000 125 125 125 125 1000 1000 1000 1000 1414 1008 1008|0.001 -0.06514240525704484 0.03386741454461717 -0.012865936761501384
8000 1000 8000 8000 8000 8000 8000 1000 8000 1000 8000 8062 8062 11314|0.001 -0.03196405192122609 0.11838275507682017 0.021481012471780137
125 1000 125 1000 1000 1000 1000 1000 125 1000 125 1008 1414 1008|0.001 -0.04108509233762159 0.09973162910431377 0.02751462118574466
1000 1000 1000 125 125 125 125 1000 1000 1000 1000 1414 1008 1008|0.001 -0.03136435311150709 0.10068622066822464 -0.006819573971569293
125 1000 125 1000 1000 1000 1000 1000 125 1000 125 1008 1414 1008|0.001 -0.10574584000770826 0.06521205076551295 -0.04150170881696669
8000 1000 8000 8000 8000 8000 8000 1000 8000 1000 8000 8062 8062 11314|0.001 -0.06830630264979876 0.019029094006139946 -0.012735132991587017
1000 1000 1000 125 125 125 125 1000 1000 1000 1000 1414 1008 1008|0.001 -0.01090548857724194 0.14084666967676407 0.01747234727143221
125 1000 125 1000 1000 1000 1000 1000 125 1000 125 1008 1414 1008|0.001 -0.09753195529937919 0.09214093996983141 -0.0027984584747886565
8000 1000 8000 8000 8000 8000 8000 1000 8000 1000 8000 8062 8062 11314|0.001 -0.11395629826429055 0.009548975942657023 -0.026777566012760046
8000 1000 8000 8000 8000 8000 8000 1000 8000 1000 8000 8062 8062 11314|0.001 -0.053979980797782545 0.09500393564694676 -0.012747663214652816
125 1000 125 1000 1000 1000 1000 1000 125 1000 125 1008 1414 1008|0.001 -0.11593790612110633 0.048963102742627385 -0.023028047266460128
1000 1000 1000 125 125 125 125 1000 1000 1000 1000 1414 1008 1008|0.001 -0.12725170216377535 0.032298252558611296 -0.028870353702079576
8000 1000 8000 8000 8000 8000 8000 1000 8000 1000 8000 8062 8062 11314|0.001 -0.055743308115466794 0.03740255880138932 -0.003100127587051249
125 1000 125 1000 1000 1000 1000 1000 125 1000 125 1008 1414 1008|0.001 -0.043157302606269266 0.10535787331896973 0.018317431583185773
1000 1000 1000 125 125 125 125 1000 1000 1000 1000 1414 1008 1008|0.001 -0.06284340486927054 0.05866290413385489 -0.010601533601334312
8000 1000 8000 8000 8000 8000 8000 1000 8000 1000 8000 8062 8062 11314|0.001 -0.05081231669005426 0.09865906286608661 -0.0032745420704582973
1000 1000 1000 125 125 125 125 1000 1000 1000 1000 1414 1008 1008|0.001 -0.028910384242937237 0.12920378436361624 0.034373851413642686
125 1000 125 1000 1000 1000 1000 1000 125 1000 125 1008 1414 1008|0.001 -0.04622784858729245 0.09740716782392411 0.02901350771356004
8000 1000 8000 8000 8000 8000 8000 1000 8000 1000 8000 8062 8062 11314|0.001 -0.13530087301999005 0.015521118368719833 -0.02363210376661984
125 1000 125 1000 1000 1000 1000 1000 125 1000 125 1008 1414 1008|0.001 -0.009550167613929794 0.13062124853192358 0.0160880155298182
1000 1000 1000 125 125 125 125 1000 1000 1000 1000 1414 1008 1008|0.001 -0.06077712980514627 0.09265493646614109 0.02279281128959143
573 533 333 625 1075 833 690 1875 1075 1000 625 629 1976 884|0.001 -0.0956443199892465 0.09245715676862165 -0.004299274760946048
3000 1720 1600 533 1000 1720 918 1104 1600 1332 853 3162 1414 1887|0.001 -0.1181956541274054 0.012613154473370969 -0.1131043383445629
906 906 483 773 1450 2719 1450 1207 1559 1559 831 1027 1761 2866|0.001 -0.09397834443869879 0.004231061155521854 -0.17162717514663917
1561 1875 1293 625 1075 2016 1172 1875 2016 3516 1172 2278 1976 2845|0.001 -0.2345929322789897 0.12056336694779679 0.033078510893786994
3000 1720 1600 2069 1875 3226 2498 1875 5625 3226 3000 3162 2125 5929|0.001 -0.03861101653045096 0.07501422479903264 0.005091076447027998
1000 533 1104 1600 3000 1600 853 1720 1720 918 1332 1414 3162 1887|0.001 -0.0241317807358854 0.08785789625038065 -0.015228645227273185
773 1207 1450 906 483 831 1559 906 1450 1559 2719 1264 1282 1528|0.001 -0.036333005079429714 0.09310264088110642 0.03349665868253471
1075 1875 625 690 833 1075 625 533 573 1000 333 1976 872 884|0.001 -0.034910474290990035 0.11117111379738587 -0.02264963609829307
533 1104 1000 3000 1600 853 1600 1720 918 1332 1720 1133 1887 1006|0.001 -0.04238697970697647 0.10134395343875058 0.022386836283709854
1600 1720 3000 1000 1104 1332 1720 533 853 918 1600 1887 1133 1395|0.001 -0.052066413564645364 0.10793164162575586 -0.012608663954573052
573 533 333 333 573 306 178 533 444 284 368 629 629 809|0.001 -0.026718060188517523 0.04401713374406757 0.0018868437615027212
625 1875 1075 573 333 625 1075 533 690 1000 833 1179 1054 884|0.001 -0.11129214914678665 0.042665022926389184 0.01302116491553651
930 581 1744 1875 1452 1203 1090 1875 1744 1090 3269 1838 1541 1520|0.001 -0.09588726772876033 0.11858931244789206 0.000810266075930155
1000 774 533 930 1744 930 496 581 581 641 310 822 1097 1838|0.001 -0.08010962134501587 0.03263325526927208 -0.04966010330968329
