1305 1875 1768 5303 4596 3977 5303 1225 1444 2296 1768 1398 4704 4186|0.001 -0.1880854374567409 0.07491760303370842 0.10687957068781895
3753 816 4330 1443 1179 1066 1443 1875 3248 1531 4330 4406 1573 3901|0.001 -0.10250057288562209 0.08178176825063055 0.09785847854458796
314 865 284 218 266 500 408 1154 385 1154 385 911 1174 581|0.001 0.02805485685671627 0.05334366041419569 0.04381800780646872
3522 1107 3048 1437 766 938 1760 1355 4064 1355 4064 3661 1071 4135|0.001 -0.15052281498382225 0.024545320419815386 0.1939567447842605
848 1224 1590 2754 3182 3672 3672 904 692 1224 1298 1334 2898 3257|0.001 -0.009128541353096153 0.042475287631249525 -0.11511613672375742
218 1154 266 314 284 385 385 865 408 1154 500 1023 1040 560|0.001 -0.02062160832889348 0.17326825277200752 0.15096359293393258
1744 1000 1744 581 1744 1744 581 1000 1744 1000 1744 2010 1419 2466|0.001 0.06656801275438218 0.14959488033002621 -0.07348129273709647
1744 1000 581 1744 1744 1744 1744 1000 1744 1000 581 1419 2010 2466|0.001 -0.03753199120297257 -0.20547501188965422 0.03065507504223186
1744 1000 1744 581 1744 1744 581 1000 1744 1000 1744 2010 1419 2466|0.001 -0.11278352383606194 -0.030297209527089253 -0.2368728464472225
1744 1000 581 1744 1744 1744 1744 1000 1744 1000 581 1419 2010 2466|0.001 0.11725150769008374 -0.05619902025387202 0.08092312409295532
573 1000 573 1000 1000 333 333 1000 573 1000 573 1153 1414 814|0.001 -0.16750917661224718 0.05442721267586714 -0.02140205418428409
1000 1000 1000 573 573 573 573 333 1000 333 1000 1414 814 1153|0.001 0.10998278098481196 0.10210286987257566 -0.04311079940273577
573 333 573 1000 1000 1000 1000 1000 573 333 573 814 1414 1153|0.001 0.07755920034853814 -0.04634078317996004 0.13727684941687412
1000 1000 1000 573 573 573 573 1000 333 1000 333 1414 1153 814|0.001 -0.025768401038669397 -0.06526619797126765 -0.04558452349446407
1000 1000 1000 573 573 573 573 333 1000 333 1000 1414 814 1153|0.001 0.03196352819007986 0.05819733401752236 0.046154654087215974
573 1000 573 1000 1000 333 333 1000 573 1000 573 1153 1414 814|0.001 -0.06496353697213242 -0.0025865529145518984 -0.06357511025782969
573 333 573 1000 1000 1000 1000 1000 573 333 573 814 1414 1153|0.001 0.08673681422330493 -0.037115232121787134 0.13305355607214464
1000 1000 1000 573 573 573 573 1000 333 1000 333 1414 1153 814|0.001 -0.15063799980286396 -0.01284696812102637 -0.03962364166416599
1000 1297 533 734 2754 3182 963 1366 904 1480 482 1731 2050 2898|0.001 0.031232424135874126 0.04487714163591727 -0.22277726785411844
1860 3750 1362 726 656 1230 1362 1311 2015 4333 1766 2791 1196 2357|0.001 -0.3483851390039272 0.12422688956924777 -0.07068135125411268
2453 1141 742 411 771 697 372 771 2123 1053 566 1804 669 2550|0.001 0.05330248391818726 0.011113438032954726 0.18552256290501168
1875 1875 2432 1805 1377 5164 5967 904 2561 1694 2775 1627 2019 3844|0.001 0.13130595398002987 0.14230554057519607 0.534243452988703
1524 1107 1998 3071 2834 2075 2692 1875 5715 2075 6604 1823 2882 3415|0.001 0.15406553635948006 0.5290643319412536 0.1394319701570801
611 923 326 651 2151 1861 496 877 676 676 360 939 1438 1959|0.001 0.09685516720222109 0.13179837128900473 -0.11439962297486783
726 1311 656 1860 1362 1766 2015 3750 1362 4333 1230 1466 2241 2357|0.001 -0.3762130965188526 -0.10696342695199923 0.09937321046323833
2016 732 538 353 662 732 391 1084 2330 950 705 1205 1267 2422|0.001 0.06868779517564372 -0.2701272334045224 0.11476505944675086
734 1366 2754 1000 533 482 904 1297 963 1480 3182 1646 868 878|0.001 -0.1402439846778769 0.18682944258673118 -0.018479244653342164
1297 533 1000 2754 3182 963 734 904 1480 482 1366 868 2898 2128|0.001 -0.10163413513677222 0.025402789640474044 -0.05721215699530102
328 1156 363 363 496 537 471 267 175 350 194 1052 598 504|0.001 0.0831546571929076 0.037841929654041095 -0.00439921735400195
465 303 408 314 284 151 168 865 429 231 314 669 1040 544|0.001 0.02073996947630663 0.06900825974782254 -0.05625636178287374
2754 904 3182 1297 1000 1366 1480 533 734 482 963 3308 1731 1646|0.001 -0.014893998549737608 -0.06998677336215287 -0.013194903035009808
314 865 284 465 408 314 429 303 168 231 151 911 735 544|0.001 0.08518104942313531 0.02334095403345282 -0.11763318124736633
1511 533 1638 3522 3048 813 1066 1107 1107 590 1436 1916 3208 2269|0.001 -0.11266963477296721 0.004227595764523251 -0.030569001038489585
353 1084 662 2016 538 705 2330 732 391 950 732 1017 1501 788|0.001 -0.13163627143665257 -0.025310330675065718 0.1832339626801649
363 267 496 328 363 194 175 1156 471 350 537 744 1201 315|0.001 0.0428000503486925 0.03670980121382783 0.01770599305731979
3522 1107 3048 1511 1638 1436 1107 533 1066 590 813 3661 1537 2589|0.001 0.02559271922457862 -0.11493644073064524 0.027903842982861526
2069 1875 1875 3000 1600 3000 5625 1720 2498 3226 3226 2652 1887 3644|0.001 0.04368110217438215 0.12848405643653082 0.16292252470504254
1561 1875 1293 625 1075 2016 1172 1875 2016 3516 1172 2278 1976 2845|0.001 -0.15121095644880622 0.18205314257176974 0.2775731632195355
773 1207 1450 906 483 831 1559 906 1450 1559 2719 1264 1282 1528|0.001 -0.0015339409376846636 0.2295888368028609 0.041290804071647536
930 581 1744 1875 1452 1203 1090 1875 1744 1090 3269 1838 1541 1520|0.001 -0.11443746508507102 0.22330217630446958 0.12029614817474554
625 1875 1075 1561 1293 1172 2016 1875 1172 3516 2016 1179 1635 1328|0.001 -0.1936738525541748 0.25375533398149797 0.033356176223040546
689 1291 1291 1201 640 1201 2252 828 400 751 751 1061 1459 755|0.001 -0.15090172919427713 0.14980660863027184 0.2367801928197033
930 581 1744 1090 1398 1943 1875 1875 1744 1090 3269 1838 2169 2734|0.001 0.05108904002999459 0.2060230026539145 0.19277409245561428
3342 1875 3226 3000 1600 3000 5625 1720 2405 3226 1875 3731 1887 2103|0.001 -0.09466056566734715 0.018102604218934726 0.1827269466300696
625 1875 1075 1503 2089 2016 1172 1875 1172 3516 2016 1179 2940 2111|0.001 -0.1101550899712389 0.05869790883707093 0.12143333983324567
1503 1875 2089 625 1075 2016 1172 1875 1172 3516 2016 1314 1976 1590|0.001 -0.1029383088887903 0.16873888653628377 0.26452019642184466
479 719 898 561 299 515 965 965 898 561 1683 1407 1116 946|0.001 -0.15176489582234054 0.15575247186599084 0.09606470952649104
716 780 1342 1248 665 1248 2339 1390 416 1342 780 1552 875 785|0.001 0.06345365546510218 0.01887043147324352 0.1625019875395961
2129 816 2706 1443 1179 1066 1443 1875 1624 1531 2706 2827 1573 2381|0.001 -0.025603427790983346 -0.03634286836687539 0.13976118319806385
1305 1875 1768 3315 2607 1989 3315 1225 1444 2296 1768 1398 2793 2379|0.001 -0.06695882376373752 -0.07739636183856646 0.07614033450315194
848 1224 1590 1377 1805 2295 2295 904 692 1224 1298 1334 1647 1934|0.001 -0.032661292366609196 0.05660296338029447 0.037945337408979984
384 1271 470 554 501 678 678 763 719 1271 881 1071 1118 987|0.001 0.02587253754420038 0.3071908759844755 0.11443118636037086
554 763 501 384 470 881 719 1271 678 1271 678 912 1328 1024|0.001 0.11198766819051853 0.12412161059350613 0.21489239101338597
1998 1107 1524 1437 766 938 1760 1355 2540 1355 2540 2234 1071 2653|0.001 -0.08556032902296562 -0.07283648972163603 0.10658897521379274
2719 1000 906 273 513 628 335 1096 2356 960 713 1861 1253 2411|0.001 0.016450899015421072 0.021650269383513 0.27117905912730667
4007 1875 3658 3315 2607 8618 9944 1225 3513 2296 3658 4582 2793 5762|0.001 0.15755157877547887 0.0651764937525301 0.32813392219280146
370 787 302 1104 1104 1060 1209 3000 693 2600 566 843 2054 1127|0.001 -0.005319381955196656 0.15433027918184017 0.2437670160063199
368 333 368 189 231 123 101 867 353 262 403 685 887 419|0.001 0.05048751501167015 0.025565711274051495 -0.03393902296236484
4596 1225 5303 1951 2137 1873 1951 533 1391 653 1768 4704 1862 3379|0.001 0.003285940735784365 -0.0788256155069944 0.026757149674632164
273 1096 513 2719 906 713 2356 1000 335 960 628 955 1861 763|0.001 -0.1514435809807646 0.17403070198501958 0.07492696383935016
906 1000 2719 628 335 273 513 960 713 1096 2356 1861 1140 947|0.001 -0.1443501379841261 0.07869442838656315 0.15356945237420705
189 867 231 368 368 403 353 333 101 262 123 1018 685 351|0.001 0.11337487911697863 -0.009914535234304411 -0.01725854140308014
1530 533 1593 4330 3753 1135 1443 816 1745 435 1593 1815 4406 2509|0.001 -0.023089053000149296 -0.148787703858978 0.007095340858198629
1104 3000 1104 370 302 566 693 787 1209 2600 1060 2054 1045 1382|0.001 0.0072419537501833275 0.2206689505784465 0.2715852493599247
628 960 335 906 2719 2356 713 1000 513 1096 273 1022 1861 2766|0.001 -0.045814761993743236 0.007638704435377619 -0.14735480536346768
2129 816 2706 2987 2868 3272 2987 1875 7036 1531 8119 2827 3051 5173|0.001 0.1601440507248686 0.34133678345413143 0.05712811763183279
3315 1225 2607 4007 3658 3658 3513 1875 9944 2296 8618 3462 3492 6807|0.001 -0.20209867132406134 0.29141527731283645 0.15235952297969035
