1860 3750 1362 726 656 1230 1362 1311 2015 4333 1766 2791 1196 2357|0.001 0.09680324008412455 0.040175111498654825 0.026135339863735396
1875 1875 2432 1805 1377 5164 5967 904 2561 1694 2775 1627 2019 3844|0.001 0.005947883327037662 -0.015170587041948291 -0.09319496233055502
1347 3305 1537 501 554 1039 938 763 1039 2860 1418 2210 912 901|0.001 -0.03773031695637141 0.00027363937385116444 -0.008935371023248706
3071 1875 2834 1524 1998 6604 5715 1107 2692 2075 2075 3592 2234 4415|0.001 -0.06978856831983404 -0.007754409082797453 0.027013658717820466
734 1366 2754 1000 533 482 904 1297 963 1480 3182 1646 868 878|0.001 0.03629727220726853 0.023185270243453182 -0.024956360424944757
328 1156 363 363 496 537 471 267 175 350 194 1052 598 504|0.001 -0.0395360902778219 0.00778725599936525 0.038778004510147124
411 771 771 2453 742 566 2123 1141 372 1053 697 1334 1640 830|0.001 0.023385275891876223 0.0210302231155568 -0.02743830371746414
2754 904 3182 1297 1000 1366 1480 533 734 482 963 3308 1731 1646|0.001 -0.005902636999447486 0.015687065981748738 0.02631296581193654
651 877 2151 611 326 360 676 923 496 676 1861 1581 1170 594|0.001 0.01674096412316306 0.002638091113369434 -0.03226310044127545
314 865 284 465 408 314 429 303 168 231 151 911 735 544|0.001 0.006434771152716845 0.013089874098473064 -0.020395085055666673
353 1084 662 2016 538 705 2330 732 391 950 732 1017 1501 788|0.001 0.027636225763418842 0.009004946654593837 -0.032426726146266294
3522 1107 3048 1511 1638 1436 1107 533 1066 590 813 3661 1537 2589|0.001 0.0033286553811606723 0.0046227687330380185 -0.039846456601123625
4007 1875 3658 3315 2607 8618 9944 1225 3513 2296 3658 4582 2793 5762|0.001 0.013032713904042037 0.043351151261810106 0.0723705862432622
4596 1225 5303 1951 2137 1873 1951 533 1391 653 1768 4704 1862 3379|0.001 -0.003468660663535905 0.011004138322088242 -0.009092358234041864
906 1000 2719 628 335 273 513 960 713 1096 2356 1861 1140 947|0.001 -0.03304687664089423 0.008167897004798252 0.003650618677029094
1104 3000 1104 370 302 566 693 787 1209 2600 1060 2054 1045 1382|0.001 -0.07021807498266641 -0.03925072054581258 -0.07767419776562257
266 1154 218 465 408 424 424 303 142 385 116 1174 735 434|0.001 0.01693052260623995 0.011639099703149025 -0.032321505023691355
349 1041 654 2453 742 944 2831 1141 285 1041 534 1064 1640 795|0.001 0.007043971180884512 -0.0037769963203959644 -0.02493212662347921
1362 3750 1860 656 726 1362 1230 1311 1766 4333 2015 2241 1466 2357|0.001 0.15374014807041148 0.0472489434679213 0.011906391227902713
2834 1875 3071 1998 1524 5715 6604 1107 2075 2075 2692 2882 1823 3415|0.001 -0.03362009290575618 -0.03970355766343858 -0.14243197936974483
1537 3305 1347 554 501 938 1039 763 1418 2860 1039 2430 1118 1443|0.001 -0.14183554141449006 -0.04711853300745528 -0.061702315003985264
2432 1875 1875 1377 1805 5967 5164 904 2775 1694 2561 3246 1647 4387|0.001 -0.0900985764778639 -0.030528745489771802 -0.05331285779668349
538 732 2016 662 353 391 732 1084 705 950 2330 1501 1017 788|0.001 0.022957448496188082 0.021494168882347786 -0.02110100920310165
363 1156 328 496 363 471 537 267 194 350 175 1201 744 315|0.001 -0.022624682298379994 0.025474873404083276 0.026230450432149777
326 923 611 2151 651 496 1861 877 360 676 676 1170 1581 594|0.001 -0.022238359651952644 -0.000419776483496781 0.005071035971571103
3048 1107 3522 1638 1511 1107 1436 533 813 590 1066 3208 1916 2269|0.001 -0.03021485434180682 0.0034627147671462133 0.02847215558098748
742 1141 2453 771 411 372 697 771 566 1053 2123 1640 1334 830|0.001 0.04228102229431263 0.010365502437439389 -0.03434476700674316
284 865 314 408 465 429 314 303 151 231 168 1040 669 544|0.001 -0.020854372676429866 0.006798447034854771 0.006619893257668874
533 1297 1000 2754 734 963 3182 1366 482 1480 904 868 1646 878|0.001 0.019867869837948415 0.029294716275365396 -0.015245681507125575
3182 904 2754 1000 1297 1480 1366 533 963 482 734 2898 868 2128|0.001 0.005460269307837606 0.004777800865016779 -0.01855518046435023
2868 1875 2987 2706 1552 5954 8119 1000 2868 1875 2987 3051 2280 4179|0.001 -0.002605181000345791 -0.028975025175158597 -0.10865708210308966
3175 1000 4330 1593 1530 1530 1593 533 828 533 1443 3841 1815 2229|0.001 -0.03543242654317935 0.010443344359472029 0.03464539043094517
906 1000 2719 628 335 335 628 960 520 960 1994 1861 1140 763|0.001 0.026051551061558875 0.014047482488581675 -0.01167504690443022
1104 3000 1104 370 370 693 693 573 1060 2200 1060 2054 843 1127|0.001 -0.09913598596858586 -0.022522241109870222 0.007853382982179191
315 1364 315 482 482 502 502 261 168 455 168 1209 702 512|0.001 -0.042213385255683855 0.008592310041928286 0.03804199293979016
349 1041 654 2076 541 944 2831 1000 349 1041 654 1064 1457 795|0.001 0.0465390020052836 0.017500671055779016 -0.03845603197076275
921 187 1000 1768 354 88 354 1000 921 187 1000 1106 1275 938|0.001 -0.03549226358685931 0.06145558757610248 -0.022033598540622812
471 1000 1886 5333 4910 4910 5333 5333 1886 5333 9428 1374 5333 5000|0.001 0.09880831029859038 0.01386791174705193 -0.023927626688797776
1000 921 187 354 1768 354 88 1000 1000 921 187 1000 1275 1275|0.001 0.05039502046847 0.3389157400212772 0.15181067294379735
1768 1000 354 187 1000 1000 187 921 354 921 88 1275 1000 1275|0.001 0.0098945505244874 0.06819407220693519 0.3200253814091636
530 250 530 2828 2828 2604 2604 5000 2828 1000 2828 729 3606 2828|0.001 0.30761153907059136 -0.1324396841217057 -0.05264055946516799
566 200 566 566 566 106 106 200 521 50 521 721 721 625|0.001 -0.0485124669170256 0.0012915762381027207 0.04757397757107373
2604 250 2604 2828 2828 530 530 5000 2828 1000 2828 2652 3606 2828|0.001 0.30277558311209596 0.11373808225666915 0.009119708534239823
2121 4000 2121 10416 10416 11314 11314 4000 11314 20000 11314 2915 10607 12510|0.001 -0.7180889652251654 -0.18809834695613925 -0.01696907091689237
384 1000 96 204 1086 1086 204 1086 1920 1086 384 1018 1201 1385|0.001 0.03817517983794261 -0.8710815536449568 -0.19403081880593476
1886 1000 471 4910 5333 5333 4910 5333 9428 5333 1886 1374 5897 6799|0.001 -0.24397495715250517 -1.1693257261760637 -0.08957396230713677
1086 1086 204 96 384 1920 384 1000 1086 1086 204 1201 1018 1385|0.001 -0.052918054228598965 -0.12447942593912353 -0.48937427508812803
1000 187 921 354 1768 354 88 1000 1000 187 921 1000 1275 1275|0.001 -0.005663383314845616 0.04523015306985734 0.3202666504207241
230 604 1225 2828 1414 1149 1414 1000 230 604 1225 1195 2236 1295|0.001 0.031717337727892314 0.009055353216149697 -0.03841679978200396
433 500 433 354 354 214 214 500 81 406 81 829 791 422|0.001 -0.037190678286094236 0.0077427289097942165 0.024521079725130512
1901 1000 2340 2027 380 380 2027 1655 2340 1655 4680 2334 1170 2143|0.001 0.031580614183996936 0.043827629542780855 -0.030540423102509706
2309 1000 1155 493 816 816 493 188 1155 188 938 1915 577 1826|0.001 -0.03635982077853317 0.03656105125442233 0.034119898774167545
4355 5333 2632 5004 6158 12317 6158 1000 4355 5333 2632 5203 5640 9737|0.001 -0.13309127527341036 -0.021557779939292976 -0.087351375246143
526 1231 526 200 200 1066 1066 1231 870 2462 870 1228 1127 1040|0.001 -0.10256122147350832 -0.030124829249712493 -0.15378069478755085
4085 7500 4085 2179 2179 4085 4085 2867 5299 11000 5299 4918 2759 7071|0.001 -0.34063852969899333 -0.02966787117547498 -0.06768735246890811
2432 1875 1875 459 1316 5049 3442 1000 2432 1875 1875 3246 1266 3544|0.001 -0.035400735841519815 -0.014793107997641552 -0.20427718713375898
245 1000 1836 1000 533 533 1000 1297 702 1297 2693 1204 868 675|0.001 0.02285742972445437 0.0018112745314935452 -0.04479833039261916
411 771 771 2076 541 189 1415 1000 411 771 771 1334 1457 521|0.001 0.025318074469087293 0.03806333808492601 -0.02750880243082454
371 682 371 482 482 371 371 261 198 91 198 905 702 643|0.001 -0.005369180740979473 0.033850935789829784 0.003632765181174058
2693 1000 1836 1000 1297 1297 1000 533 702 533 245 2438 868 1890|0.001 -0.023798819432067075 -0.013722075833813019 -0.02116458512352093
230 604 1225 2828 1414 1282 2121 1000 187 921 1000 1195 2236 1427|0.001 0.03297938221009433 0.009333322739975003 -0.035599458671305984
433 750 354 354 354 214 326 500 81 453 66 829 791 422|0.001 -0.03693679368315661 0.009037195193875025 0.033935359037664536
2121 1523 3510 2027 380 310 1655 1655 2340 1655 4680 2535 1170 2143|0.001 0.03267488352304948 0.02759063137172557 -0.03441582567807688
2828 1225 2121 921 1000 1000 604 187 1414 230 1282 3000 1000 2236|0.001 -0.03776268440790265 0.021582539333353523 0.03508635933827886
5333 5333 4910 6835 7542 15085 11314 1225 5333 6532 3223 5897 7608 11926|0.001 -0.2112366806182775 -0.035608954964495565 -0.07992267104512063
718 1655 472 179 146 780 956 1103 780 2207 780 1618 1011 863|0.001 -0.08065130119147779 -0.03471356544788806 -0.20246862584646697
3915 4615 2746 2731 2731 4615 4615 1000 5196 4615 4383 4701 2908 7517|0.001 -0.19281792722709912 -0.03810804303076565 -0.04099426030604425
1006 1690 1605 366 366 1690 1690 1000 1434 1690 1903 659 1065 1721|0.001 -0.05081595283181084 -0.017697322763772227 -0.10602301992877261
4383 4615 5196 2731 2731 4615 4615 1000 2746 4615 3915 4655 2908 1798|0.001 -0.1769083971986618 -0.031972781484349566 -0.03663713518108569
1903 1690 1434 366 366 1690 1690 1000 1605 1690 1006 2753 1065 1705|0.001 -0.04915336490604605 -0.037857548927219264 -0.18814550084013004
364 1426 1681 1681 994 994 1681 1596 364 1892 1681 1152 655 1059|0.001 0.029984873326744932 0.010311577828536755 -0.0238167625796204
1000 1000 1000 595 848 1126 950 217 592 217 592 1414 685 719|0.001 -0.03730963506080709 0.004190648770061589 0.028429884347780376
623 626 1053 1053 228 228 1053 1185 623 893 1053 1593 1062 664|0.001 0.013871744937392627 0.025733011838651176 -0.019148086786752172
1000 1000 1000 950 595 848 1126 592 217 592 217 1414 1512 685|0.001 -0.014738816965984558 0.014399825683217848 0.02207251047980696
192 844 888 888 526 526 888 753 192 528 888 1118 1447 560|0.001 0.03625778812760272 0.011725505866491126 -0.020622558071451413
1000 1000 1000 1126 950 595 848 217 592 217 592 1414 1259 1512|0.001 -0.04247930382884402 0.012145917442809573 0.040142395152276134
698 1327 1179 1179 255 255 1179 701 698 1120 1179 848 1201 743|0.001 0.027457571739986086 0.01739434961086639 -0.030310735603941152
1000 1000 1000 848 1126 950 595 592 217 592 217 1414 719 1259|0.001 -0.025946776997092247 0.010258853047873107 0.029938718146682586
2828 1000 2828 1000 921 921 1000 187 1414 187 1414 3000 1106 2202|0.001 -0.041386344790933505 0.015158994834816308 0.0372891430004052
187 921 1000 2828 1414 1414 2828 1000 187 921 1000 1106 2236 1427|0.001 0.037357187871762676 0.01094083274143065 -0.03390874121878884
1414 1000 2828 1000 187 187 1000 921 1414 921 2828 2236 1106 1427|0.001 0.03607926778663506 0.017152141514329422 -0.039737058264515124
354 1000 354 354 354 326 326 500 66 500 66 1061 791 391|0.001 -0.03435771892348449 0.01078831774517619 0.03730491897919741
707 2000 707 133 133 707 707 1000 651 2000 651 1581 1009 707|0.001 -0.06597602285402737 -0.03681138264681194 -0.21945815093391108
4910 5333 5333 7542 7542 15085 15085 1000 4910 5333 5333 5333 7608 11743|0.001 -0.2169897373473284 -0.03663482678453178 -0.06723171905668957
354 1000 354 326 326 354 354 500 66 500 66 1061 778 354|0.001 -0.033927456612998785 0.010867479097285138 0.037190067780825675
1536 1000 3072 1086 204 204 1086 1086 1536 1086 3072 2391 1086 1549|0.001 0.03688908247871048 0.014835332367868492 -0.041062668387630286
2828 1000 2828 921 1000 1000 921 187 1414 187 1414 3000 1000 2236|0.001 -0.03999420320859981 0.01682596879803766 0.03627751850882488
204 1086 1086 3072 1536 1536 3072 1000 204 1086 1086 1086 2391 1549|0.001 0.036729008217912806 0.010366821508334123 -0.03523875179077929
5333 5333 4910 7542 7542 15085 15085 1000 5333 5333 4910 5897 7608 11926|0.001 -0.2120130076364657 -0.03582315983016393 -0.068953835161778
651 2000 651 133 133 707 707 1000 707 2000 707 1557 1009 782|0.001 -0.0700803383222881 -0.03744348996127189 -0.21784601218170274
2868 1875 2987 2706 2129 7036 8119 816 3272 1531 2987 3051 2827 5173|0.001 -0.03914548732525058 -0.019304488870997005 -0.0467761401201916
3753 816 4330 1593 1530 1745 1593 533 1135 435 1443 4406 1815 2509|0.001 -0.03719539584938758 0.008677925964846178 0.024907224212504797
906 1000 2719 513 273 335 628 1096 713 960 2356 1861 955 763|0.001 -0.004090020349083456 0.008484679432019249 -0.005173468869712483
1104 3000 1104 302 370 693 566 787 1060 2600 1209 2054 843 1127|0.001 -0.011931335693113887 -0.007579821060695879 -0.05101115046275195
218 1154 266 408 465 424 424 303 116 385 142 1023 669 532|0.001 -0.01628118264381251 0.010981563319989451 0.00679210444721301
250 913 468 2151 651 827 2481 877 306 913 573 1143 1581 864|0.001 0.014774950948215348 0.024882663634071545 -0.012725675991753782
908 2444 908 1000 1000 222 222 1000 908 2444 908 1808 1414 1023|0.001 0.042791138249931304 0.042165391012767284 -0.02756925724805903
908 222 908 1000 1000 2444 2444 1000 908 222 908 1023 1414 1808|0.001 0.04815162573136966 -0.016563724617595366 -0.1072439307140527
908 2444 908 1000 1000 222 222 1000 908 2444 908 1808 1414 1023|0.001 0.026160071462077994 0.03520698202518879 -0.023295175898268017
908 222 908 1000 1000 2444 2444 1000 908 222 908 1023 1414 1808|0.001 0.06836345259733312 -0.0378146600656204 -0.1446272226923051
1102 1000 2693 245 1102 1102 245 1000 1102 1000 2693 1992 1127 1558|0.001 0.027786420751971797 0.03357838901512755 0.2574797705963183
91 1000 91 371 371 371 371 409 409 409 409 1004 740 418|0.001 -0.04960734423890445 -0.17733339608481113 0.02650257997888872
1102 1000 245 2693 1102 1102 2693 1000 1102 1000 245 1127 1992 1558|0.001 0.03679229262767869 -0.1659465982653674 -0.05409203341214308
11000 1000 11000 4085 4085 4085 4085 4500 4500 4500 4500 11045 4603 8136|0.001 -0.11724731916620157 0.01666310225775014 -0.04083129587146073
1102 1000 2693 245 1102 1102 245 1000 1102 1000 2693 1992 1127 1558|0.001 4.6583800958899246e-05 0.03246386077540686 0.20130301865108002
91 1000 91 371 371 371 371 409 409 409 409 1004 740 418|0.001 0.0007946045369155996 -0.05740333242317264 -0.028766268301385622
1102 1000 245 2693 1102 1102 2693 1000 1102 1000 245 1127 1992 1558|0.001 -0.009234561780948614 -0.07306670473040344 -0.009124965492941506
11000 1000 11000 4085 4085 4085 4085 4500 4500 4500 4500 11045 4603 8136|0.001 0.04594323120303834 0.01692629647347621 -0.013349503654709327
3169 1875 3658 3315 1900 7292 9944 1000 3169 1875 3658 2847 2702 4889|0.001 -0.017567530058584246 -0.03037643626814135 -0.09744866876101654
3889 1000 5303 1951 1690 1690 1951 533 1014 533 1768 4650 2329 2607|0.001 -0.023665582142606834 0.011028331158464688 0.04073769281204731
906 1000 2719 513 273 273 513 866 520 866 1994 1861 1194 739|0.001 0.03518581267218934 0.009656192568061606 -0.03136590045504817
1104 3000 1104 302 302 566 566 573 956 2200 956 2054 815 859|0.001 -0.07948448107223394 -0.03522432514759588 -0.05412003719970082
257 1364 257 435 435 502 502 261 137 455 137 1196 670 390|0.001 -0.03994962719403694 0.011212029662481804 0.04232458726284305
