573 533 333 354 433 231 189 750 428 400 246 629 829 772|0.001 -0.03608327326752314 -0.033685134161905994 0.01960093333219115
2121 1225 2828 943 696 1210 1622 533 1131 653 1508 2345 1373 1328|0.001 0.015697283568187892 0.023403702489070977 -0.1650112349125632
566 738 1061 3000 1600 1200 2250 1720 693 1284 1299 1456 1887 1327|0.001 -0.08630695637096175 0.00916817538831216 -0.02645460739016281
930 581 1744 755 403 329 616 746 697 429 1308 1838 1346 986|0.001 -0.12280384275440315 -0.002754671972927669 0.017607885558348357
988 533 1324 2309 1732 924 1232 816 568 435 770 1782 2449 1823|0.001 -0.015562786021050545 -0.029809646867703377 -0.01616251882816666
354 750 433 573 333 246 428 533 189 400 231 1061 1054 485|0.001 0.00449883058049938 0.02312613880550929 -0.12065618393262811
625 1875 1075 433 354 663 812 750 461 1406 802 1179 1061 494|0.001 0.14763865024431944 0.1302051018440542 0.01530713532243766
755 746 403 930 1744 1308 697 581 616 429 329 595 1097 1849|0.001 0.10204300234662789 0.04826404615511981 0.11943890508484545
1732 816 2309 2483 1853 1066 1443 1875 3248 1531 4330 2449 1477 2034|0.001 -0.018397844922830586 0.06810493074626223 0.06247480967748631
3000 1720 1600 566 1061 1299 693 738 2250 1284 1200 3162 791 2487|0.001 0.06452000846874029 0.1068589053699176 0.033595677476963015
433 750 354 625 1075 802 461 1875 812 1406 663 829 1976 640|0.001 0.08642230235858195 -0.0035560687401470226 0.06330921916514853
1305 1875 1768 2828 2121 3977 5303 1225 2269 2296 3041 1398 2345 4186|0.001 -0.022180591852909437 -0.007441440026186852 0.03894045671250179
943 533 696 2121 2828 1508 1131 1225 1622 653 1210 745 3000 1779|0.001 0.02282099178880559 -0.060629463910697456 0.06559563714250594
577 1333 471 328 570 765 444 533 308 711 251 1414 626 455|0.001 0.06422562537625076 0.05945491691397242 -0.1372777159881744
1625 1739 3048 1437 766 938 1760 1355 2167 2330 4064 1908 1071 2299|0.001 -0.05550302208865432 0.047470173498980195 0.027292193499079964
2309 816 1732 988 1324 770 568 533 1232 435 924 1915 788 2434|0.001 0.020315843669138633 0.06288445093830086 -0.02194213549392865
540 1340 1012 1753 935 1247 2337 575 441 779 826 797 1845 1034|0.001 -0.1906999358724104 0.0370878420001719 0.06092451031372681
328 533 570 577 471 251 308 1333 444 711 765 1052 1106 351|0.001 0.06331486280207965 -0.19508836508202454 0.047876427962363355
2483 1875 1853 1732 2309 4330 3248 816 1443 1531 1066 3342 1915 2723|0.001 -0.003957008393519201 0.024659181500472638 -0.04360108548998931
1753 575 935 540 1012 826 441 1340 2337 779 1247 1098 1804 1938|0.001 0.07690252707243106 -0.09855001363366811 0.025435925804537796
