1744 1000 1744 581 1744 1744 581 1000 1744 1000 1744 2010 1419 2466|0.001 -0.09840681765880599 0.137884797995389 -0.11953345229018697
3000 1000 3000 1720 1720 1720 1720 3000 3000 3000 3000 3162 2441 3458|0.001 -0.1575692783707261 -0.05536596526397708 0.04476979535251058
1744 1000 1744 581 1744 1744 581 1000 1744 1000 1744 2010 1419 2466|0.001 -0.0629326306315614 0.042682614501090566 -0.4880206292651268
3000 1000 3000 1720 1720 1720 1720 3000 3000 3000 3000 3162 2441 3458|0.001 0.0183986569631589 0.021611744679690403 0.15433781493233933
1000 1000 1000 573 573 573 573 333 1000 333 1000 1414 814 1153|0.001 0.11372503791255983 0.08441604020997362 0.05315737457136871
1744 1000 1744 1744 581 581 1744 1000 1744 1000 1744 2010 1419 1838|0.001 -0.15692660059300922 0.1783343902920742 0.1325823525320824
1000 1000 1000 573 573 573 573 333 1000 333 1000 1414 814 1153|0.001 0.09573419053772181 -0.0752131968559866 0.07263625128098417
1744 1000 1744 1744 581 581 1744 1000 1744 1000 1744 2010 1419 1838|0.001 -0.13251562738220146 0.1819813873640097 0.09232538028297377
1000 1297 533 734 2754 3182 963 1366 904 1480 482 1731 2050 2898|0.001 0.1278635319198851 0.23103413320422872 -0.01858416820576636
501 763 554 1347 1537 1418 1039 3305 938 2860 1039 1118 2430 1443|0.001 0.06301301439796791 0.2734135493338341 0.05514688679959523
611 923 326 651 2151 1861 496 877 676 676 360 939 1438 1959|0.001 0.14736774960568466 0.3506558641078339 -0.09275610218455022
726 1311 656 1860 1362 1766 2015 3750 1362 4333 1230 1466 2241 2357|0.001 -0.20992245289619627 -0.014149086915375975 -0.05236622731863538
328 1156 363 363 496 537 471 267 175 350 194 1052 598 504|0.001 0.12084818314979984 0.15702298639511225 -0.01042507092087197
411 771 771 2453 742 566 2123 1141 372 1053 697 1334 1640 830|0.001 -0.2517446011563429 0.10991600332994844 0.13398372730991648
314 865 284 465 408 314 429 303 168 231 151 911 735 544|0.001 0.06894086328323112 0.010801824787651793 -0.0023615640334129218
353 1084 662 2016 538 705 2330 732 391 950 732 1017 1501 788|0.001 0.10791941543334627 0.12235024855428822 -0.0034619554481118975
468 913 250 651 2151 2481 827 877 573 913 306 871 1438 2525|0.001 0.10937911460633831 0.1520628103028132 -0.22114981573125192
266 1154 218 465 408 424 424 303 142 385 116 1174 735 434|0.001 0.030159826591502625 0.013787073460569399 0.1419560110125362
349 1041 654 2453 742 944 2831 1141 285 1041 534 1064 1640 795|0.001 -0.07953026821068909 0.01457155540251831 0.09980361507730517
384 1271 470 1347 1537 1403 1403 3305 719 3814 881 1071 2430 1339|0.001 -0.24933989696836578 0.055488622285024825 0.09215505867657958
