1805 904 1377 1875 2432 2775 2561 1875 5967 1694 5164 1647 3246 4387|0.001 0.004837689500851727 -0.09790736258014632 -0.01728207618517663
1000 1297 533 734 2754 3182 963 1366 904 1480 482 1731 2050 2898|0.001 0.009243823785709537 -0.0070112408170308615 0.036312243929566
501 763 554 1347 1537 1418 1039 3305 938 2860 1039 1118 2430 1443|0.001 0.04771505355187555 -0.05904177942622324 -0.045713405258134276
2453 1141 742 411 771 697 372 771 2123 1053 566 1804 669 2550|0.001 -0.005617931495643935 0.001328829580473645 0.03381013732026705
1524 1107 1998 3071 2834 2075 2692 1875 5715 2075 6604 1823 2882 3415|0.001 0.027451435753336195 -0.06790714182250746 -0.018580274600764612
611 923 326 651 2151 1861 496 877 676 676 360 939 1438 1959|0.001 0.013594198477371311 -0.013088761351386369 0.031528161996599025
726 1311 656 1860 1362 1766 2015 3750 1362 4333 1230 1466 2241 2357|0.001 0.0733919444430664 0.010746479653929164 0.002098597577580019
2016 732 538 353 662 732 391 1084 2330 950 705 1205 1267 2422|0.001 -0.009494286624632808 -0.1119858278125363 -0.022016987196836757
1297 533 1000 2754 3182 963 734 904 1480 482 1366 868 2898 2128|0.001 0.004704270682351908 0.0015071427524526726 0.012038889616852178
465 303 408 314 284 151 168 865 429 231 314 669 1040 544|0.001 -0.0061688773533130625 0.009137619354155913 0.013086055423670029
1511 533 1638 3522 3048 813 1066 1107 1107 590 1436 1916 3208 2269|0.001 0.036935443016758995 0.0039252448579762955 -0.011848215228513759
363 267 496 328 363 194 175 1156 471 350 537 744 1201 315|0.001 0.010552470764251254 0.0332400685681189 0.007965179644968678
370 787 302 1104 1104 1060 1209 3000 693 2600 566 843 2054 1127|0.001 0.048473689156653954 -0.03140177252391907 -0.03501300151524722
628 960 335 906 2719 2356 713 1000 513 1096 273 1022 1861 2766|0.001 0.001443372378193697 -0.027469325732701888 0.019619086609203862
3315 1225 2607 4007 3658 3658 3513 1875 9944 2296 8618 3462 3492 6807|0.001 -0.004362208933602618 -0.024042579387815177 0.005175761249203159
1951 533 2137 4596 5303 1768 1391 1225 1951 653 1873 2444 5397 3631|0.001 0.03925051668927315 0.006248190996671621 -0.0022950591126413844
465 303 408 266 218 116 142 1154 424 385 424 669 1023 532|0.001 0.012812491437901308 0.04087573997790139 0.007990186874207161
2453 1141 742 349 654 534 285 1041 2831 1041 944 1804 1187 2511|0.001 -0.04234103099239883 -0.17883400764168722 -0.013907404537740753
1998 1107 1524 2834 3071 2692 2075 1875 6604 2075 5715 2234 3592 4415|0.001 0.03373196467494566 -0.030971697259631892 -0.0032839370580461935
662 1084 353 538 2016 2330 705 732 732 950 391 1267 1205 2422|0.001 -0.00794648913909235 -0.03876161536535139 0.012393497697980038
554 763 501 1537 1347 1039 1418 3305 1039 2860 938 912 2210 901|0.001 0.022171174446057318 -0.02575562110677665 0.015190959312982866
2151 877 651 326 611 676 360 923 1861 676 496 1438 939 1959|0.001 0.030735937858359375 0.08783153710866909 0.04182808410893246
1377 904 1805 2432 1875 2561 2775 1875 5164 1694 5967 2019 1627 3844|0.001 0.03590246566883337 0.09438272601011377 0.03060709941933082
771 771 411 742 2453 2123 566 1141 697 1053 372 669 1804 2550|0.001 -0.0041375628287199095 -0.050797327281716376 0.022723364418639758
656 1311 726 1362 1860 2015 1766 3750 1230 4333 1362 1196 2791 2357|0.001 0.0007614671122180283 0.01928042872284319 0.03888088607078011
2754 1366 734 533 1000 904 482 1297 3182 1480 963 2050 1731 2898|0.001 -0.009365677191213173 -0.02227471306781248 0.05031357164160699
1638 533 1511 3048 3522 1066 813 1107 1436 590 1107 1537 3661 2589|0.001 0.026560917600795264 0.02648786115652113 0.0012784075663541117
408 303 465 284 314 168 151 865 314 231 429 735 911 544|0.001 0.012830474723213303 -0.02708495308384018 -0.0023346195279960735
1000 533 1297 3182 2754 734 963 904 1366 482 1480 1731 3308 1646|0.001 0.007546110077345514 0.037277887602111814 0.015034209312800861
496 267 363 363 328 175 194 1156 537 350 471 598 1052 504|0.001 0.005525196306994662 0.0012877320922721758 0.023907375438503298
370 573 370 1104 1104 1060 1060 3000 693 2200 693 843 2054 1127|0.001 0.04881172405357237 -0.0052712440360069834 -0.029563724666479274
628 960 335 906 2719 1994 520 1000 628 960 335 1022 1861 2411|0.001 -0.02054947741339741 -0.00889495796629669 0.04583786325371042
2706 1000 1552 2868 2987 2987 2868 1875 8119 1875 5954 2280 3404 5558|0.001 -0.0029578354647530336 -0.17123498355976152 -0.035677231877332405
1593 533 1530 3175 4330 1443 828 1000 1593 533 1530 1627 3841 2964|0.001 0.01825574201606006 0.04249665311079731 0.014698615112638258
