581 1000 1744 1744 1744 1744 1744 1000 581 1000 1744 1419 2010 1838|0.001 -0.04349514404146104 0.06252459904934282 0.14783165697721978
573 333 573 1000 1000 1000 1000 1000 573 333 573 814 1414 1153|0.001 0.12936085186681323 -0.1429430554024702 0.05200898741510418
581 1000 1744 1744 1744 1744 1744 1000 581 1000 1744 1419 2010 1838|0.001 0.01190539031348914 0.021821798965915296 -0.11563706928092721
573 333 573 1000 1000 1000 1000 1000 573 333 573 814 1414 1153|0.001 0.10578554114873073 -0.14325314163386782 -0.02503824389907594
465 303 408 314 284 151 168 865 429 231 314 669 1040 544|0.001 0.07669722141804503 -0.12466967674645724 0.08147372808005482
651 877 2151 611 326 360 676 923 496 676 1861 1581 1170 594|0.001 -0.16387300625585466 0.12367602288237745 0.05197610840373068
6128 1000 7542 3712 3441 3441 3712 533 251 533 1006 6872 4066 3658|0.001 -0.12158728521333262 0.12012244855562182 0.00015937810906141436
144 927 269 2032 271 68 1651 1000 144 927 269 1095 1245 197|0.001 0.07332097101580226 -0.02893600427843368 0.01364660823970576
133 812 133 492 492 456 456 133 71 33 71 911 613 539|0.001 0.16832472185859704 -0.05098804991947148 -0.1537135743250706
3441 533 3712 7542 6128 251 1006 1000 3441 533 3712 4066 6872 3658|0.001 -0.046852906729913935 0.013493154659600659 0.02929914071848838
566 200 566 1600 1600 1200 1200 1000 693 200 693 721 1887 1327|0.001 0.15957816766178023 -0.1537716573358594 -0.04439151173724176
289 1000 1443 2309 1732 1732 2309 816 289 816 1443 1190 2449 1756|0.001 -0.1591542417561853 0.17257001060349664 -0.03239576278822209
693 200 693 1600 1600 1200 1200 1000 566 200 566 825 1887 1697|0.001 0.16995575723624645 -0.15240903257959793 0.01893543288882249
354 1000 1768 2828 2121 2121 2828 1225 354 1225 1768 1275 2345 2151|0.001 -0.16788296084640275 0.18050827072794817 0.0036073505981715215
408 303 465 284 314 168 151 865 314 231 429 735 911 544|0.001 0.09771414696124747 -0.11607739221086599 -0.023485273087787695
742 1141 2453 771 411 372 697 771 566 1053 2123 1640 1334 830|0.001 -0.1961059665326359 0.15193778976881678 0.07656073968746568
573 333 573 433 433 231 231 500 428 67 428 814 829 772|0.001 0.16134485689777156 -0.19863744311675702 -0.0020921157818321046
